Designator,Mid X,Mid Y,Layer,Rotation
BZ1,107.750000mm,-136.250000mm,Top,0
C1,132.367500mm,-165.300000mm,Top,270
C2,143.367500mm,-166.750000mm,Top,180
C3,131.750000mm,-135.250000mm,Top,180
C4,134.750000mm,-135.250000mm,Top,180
C5,134.250000mm,-114.250000mm,Top,0
C6,125.000000mm,-119.560000mm,Top,270
C7,151.250000mm,-129.310000mm,Top,90
C8,148.250000mm,-138.000000mm,Top,0
C9,134.500000mm,-125.450000mm,Top,180
C10,151.250000mm,-126.060000mm,Top,270
C11,147.800000mm,-120.700000mm,Top,0
C12,134.500000mm,-119.250000mm,Top,180
C13,143.025000mm,-119.560000mm,Top,0
C14,137.750000mm,-119.150000mm,Top,0
C15,134.500000mm,-117.700000mm,Top,180
C16,125.725000mm,-135.250000mm,Top,180
C17,134.500000mm,-123.900000mm,Top,180
C18,147.775000mm,-123.810000mm,Top,0
C19,128.775000mm,-135.250000mm,Top,180
C20,142.000000mm,-131.700000mm,Top,270
C21,143.600000mm,-131.675000mm,Top,270
C22,138.000000mm,-131.310000mm,Top,270
D1,120.500000mm,-139.250000mm,Top,180
D2,120.500000mm,-135.500000mm,Top,180
D3,120.500000mm,-143.000000mm,Top,180
D6,137.250000mm,-168.750000mm,Top,180
D7,138.750000mm,-139.000000mm,Top,180
D8,139.000000mm,-154.000000mm,Top,270
D9,143.800000mm,-134.950000mm,Top,90
D10,122.250000mm,-126.750000mm,Top,90
D11,140.350000mm,-134.925000mm,Top,90
D12,117.500000mm,-129.750000mm,Top,180
D13,151.000000mm,-134.500000mm,Top,270
J1,114.117500mm,-153.550000mm,Top,180
J2,143.000000mm,-112.060000mm,Top,0
J4,135.000000mm,-154.000000mm,Top,0
J5,130.250000mm,-106.500000mm,Top,180
Q2,127.475000mm,-164.175000mm,Top,270
Q3,120.000000mm,-164.250000mm,Top,270
Q5,127.725000mm,-150.775000mm,Top,90
Q6,120.225000mm,-150.775000mm,Top,90
Q7,116.500000mm,-125.750000mm,Top,180
R1,143.367500mm,-164.500000mm,Top,180
R4,128.250000mm,-140.500000mm,Top,180
R10,119.500000mm,-125.750000mm,Top,270
R11,140.500000mm,-168.750000mm,Top,180
R12,134.000000mm,-168.750000mm,Top,0
R13,125.000000mm,-116.000000mm,Top,270
R14,139.500000mm,-143.000000mm,Top,0
R15,150.000000mm,-117.000000mm,Top,90
R16,125.000000mm,-125.750000mm,Top,270
R17,145.500000mm,-130.810000mm,Top,90
R18,134.500000mm,-122.350000mm,Top,180
R19,134.500000mm,-120.800000mm,Top,180
R20,127.425000mm,-113.060000mm,Top,0
R21,134.250000mm,-112.750000mm,Top,180
R22,142.050000mm,-134.950000mm,Top,90
R23,151.500000mm,-138.000000mm,Top,0
R24,138.600000mm,-134.925000mm,Top,90
R25,154.500000mm,-142.250000mm,Top,90
R26,121.250000mm,-132.500000mm,Top,180
R27,118.000000mm,-132.500000mm,Top,0
R28,147.800000mm,-122.250000mm,Top,180
R29,148.250000mm,-136.250000mm,Top,0
R30,148.250000mm,-134.750000mm,Top,0
SW1,149.617500mm,-165.800000mm,Top,0
SW2,119.250000mm,-107.000000mm,Top,180
SW3,119.250000mm,-120.000000mm,Top,180
SW4,119.250000mm,-113.500000mm,Top,180
TH1,151.875000mm,-111.475000mm,Top,0
U1,137.367500mm,-165.050000mm,Top,0
U2,133.000000mm,-131.250000mm,Top,90
U3,129.000000mm,-122.560000mm,Top,90
U4,149.750000mm,-141.750000mm,Top,180
U5,140.850000mm,-125.010000mm,Top,90
U6,127.500000mm,-131.250000mm,Top,90
Y1,148.500000mm,-128.060000mm,Top,90
